brand,vehiclemodel,manufacturingyear,type,rating,color,duty,fuel,cylindercount,type_of_gear,capacity,turbo,odometer,airbags,price
other,mazda 6 touring,2017.0,sedan,0.0,other,1249.0,gas,4.0,auto,2.5,no,75492.0,12.0,21012.0
hyundai,h1,2009.0,minivan,0.0,metallic,1185.0,diesel,4.0,auto,2.5,no,50653.0,4.0,22433.0
opel,corsa,1995.0,hatchback,5.0,jet black,742.0,diesel,4.0,auto,0,no,230000.0,0.0,5645.0
subaru,outback.,2007.0,hatchback,4.0,sapphire blue,1327.0,gas,4.0,auto,2.5,no,131000.0,4.0,10976.0
volkswagen,cc,2010.0,sedan,3.0,metallic,836.0,gas,4.0,auto,2,no,66000.0,12.0,12900.0
mercedes-benz,e 200,1999.0,sedan,2.0,sapphire blue,2065.0,gas,4.0,manual,2,no,318406.0,6.0,6586.0
ford,f150,2012.0,pickup,6.0,other,8526.0,gas,8.0,auto,5,no,150000.0,8.0,42000.0
bmw,x6,2011.0,jeep,3.0,other,2956.0,gas,8.0,auto,0,no,1000.0,8.0,28600.0
hyundai,h1,2014.0,minivan,2.0,metallic,10777.0,diesel,4.0,auto,2.5,no,146216.0,4.0,30750.0
jaguar,xj,2015.0,sedan,3.0,pearl white,1104.0,gas,6.0,auto,3,no,54429.0,12.0,1646.0
mercedes-benz,a 200,2005.0,hatchback,2.0,metallic,2065.0,gas,4.0,auto,2,no,123456.0,6.0,10036.0
ford,c-max sel,2013.0,sedan,8.0,jet black,640.0,hybrid,4.0,auto,0,no,174400.0,0.0,18189.0
honda,fit,2010.0,hatchback,3.0,other,1067.0,gas,4.0,auto,1.5,no,206400.0,6.0,11917.0
hyundai,elantra,2017.0,sedan,1.0,jet black,1772.0,gas,4.0,auto,1.6,no,25635.0,12.0,1019.0
nissan,presage rider,2003.0,minivan,3.0,other,1787.0,gas,4.0,auto,2.5,no,190000.0,2.0,7527.0
toyota,prius,2010.0,sedan,5.0,jet black,684.0,hybrid,4.0,auto,1.8,no,104000.0,8.0,18817.0
volkswagen,golf gti,2016.0,hatchback,3.0,jet black,10891.0,gas,4.0,auto,2,no,113600.0,8.0,7527.0
ford,transit 100ld,1998.0,microbus,2.0,pearl white,1945.0,diesel,4.0,auto,2.5,no,250000.0,0.0,15681.0
ssangyong,actyon,2018.0,jeep,4.0,sapphire blue,880.0,diesel,4.0,auto,1.6,no,200401.0,4.0,43868.0
opel,astra,2008.0,hatchback,3.0,jet black,893.0,gas,4.0,manual,1.6,no,200000.0,6.0,10976.0
ford,focus.,2015.0,hatchback,0.0,other,703.0,gas,4.0,manual,2,no,21000.0,10.0,18189.0
toyota,aqua,2012.0,hatchback,6.0,other,503.0,gas,14.0,auto,1.5,no,120800.0,4.0,23110.0
honda,insight,2010.0,hatchback,0.0,other,448.0,hybrid,4.0,auto,1.3,no,119000.0,0.0,10036.0
toyota,camry.,2013.0,sedan,6.0,other,779.0,hybrid,4.0,auto,2.5,no,190549.0,12.0,5018.0
hyundai,sonata,2011.0,sedan,4.0,other,707.0,gas,0.0,auto,2,no,91.0,4.0,7683.0
toyota,highlander,2008.0,jeep,2.0,charcoal,1558.0,gas,6.0,auto,3.5,no,112000.0,10.0,45473.0
mercedes-benz,e 270,1994.0,sedan,3.0,jet black,2065.0,diesel,5.0,auto,2.7,yes,210000.0,10.0,10976.0
toyota,corolla,2020.0,sedan,4.0,sapphire blue,460.0,hybrid,4.0,auto,1.8,no,7467.0,12.0,6899.0
mercedes-benz,e 350,2005.0,sedan,2.0,gold,1172.0,diesel,0.0,auto,3.5,no,279.0,12.0,14426.0
ssangyong,rexton.,2013.0,jeep,0.0,pearl white,640.0,diesel,4.0,auto,2,no,110190.0,4.0,35043.0
mercedes-benz,c 250,2013.0,sedan,3.0,charcoal,87.0,gas,4.0,auto,1.8,yes,57956.0,8.0,29166.0
subaru,forester l.l.bean,2004.0,jeep,1.0,other,1952.0,gas,4.0,auto,0,no,220000.0,5.0,11917.0
hyundai,santa fe,2016.0,jeep,4.0,pearl white,891.0,diesel,4.0,auto,2,no,160931.0,4.0,39493.0
toyota,camry,2011.0,sedan,5.0,metallic,831.0,gas,4.0,auto,2.4,no,110000.0,8.0,13485.0
ford,focus flexfuel.,2015.0,other,5.0,other,1945.0,gas,4.0,auto,2,no,165616.0,6.0,12504.0
